MLSNumber,MLS,FullAddress,City,StateOrProvince,PostalCode
5114,Apples,2132 Paget CIR 1.47,Apples,FL,34112
5115,Apples,12570 Vittoria WAY ,FORT MYERS,FL,33912
5116,Apples,7575 Pelican Bay BLVD 907,Apples,FL,34108
5117,Apples,9110 Capistrano ST S 84-3,Apples,FL,34113
5118,Apples,971 San Marcos BLVD ,Apples,FL,34104
5119,Apples,8473 Bay Colony DR 201,Apples,FL,34108
5120,Apples,2050 Gordon DR ,Apples,FL,34102
5121,Apples,661 Captn Kate CT 50,Apples,FL,34110
5122,Apples,6075 Pelican Bay BLVD 504,Apples,FL,34108
5123,Apples,10475 Gulf Shore DR 133,Apples,FL,34108
5124,Apples,7481 Berkshire Pines DR ,Apples,FL,34104
5125,Apples,760 10th ST S ,Apples,FL,34102
5126,Apples,15106 Frescott WAY ,Apples,FL,34110
5127,Apples,1990 6th ST S ,Apples,FL,34102
5128,Apples,298 Sabal Lake DR ,Apples,FL,34104
5129,Apples,14083 Tivoli TER ,BONITA SPRINGS,FL,34135
5130,Apples,6921 Deep Lagoon LN ,FORT MYERS,FL,33919
5131,Apples,15187 Brolio WAY ,Apples,FL,34110
5132,Apples,36 Cajeput DR ,Apples,FL,34108
5133,Apples,9577 Gulf Shore DR 804,Apples,FL,34108
5134,Apples,12946 Brynwood WAY ,Apples,FL,34105
5135,Apples,19600 Marino Lake CIR N 3004,MIROMAR LAKES,FL,33913
5136,Apples,11118 Gulf Shore DR A-603,Apples,FL,34108
5137,Apples,6670 Beach Resort DR SW 1101,Apples,FL,34114
5138,Apples,180 Seaview CT 716,MARCO ISLAND,FL,34145
5139,Apples,717 Teal CT ,Apples,FL,34108
5140,Apples,22628 Island Pines WAY 1301,FORT MYERS BEACH,FL,33931
5141,Apples,23860 Messina CT ,BONITA SPRINGS,FL,34134
5142,Apples,4468 BRYNWOOD DR ,Apples,FL,34119
5143,Apples,1800 Gordon DR ,Apples,FL,34102
5144,Apples,824 Hideaway CIR E 3-341,MARCO ISLAND,FL,34145
5145,Apples,1171 Collier BLVD ,MARCO ISLAND,FL,34145
5146,Apples,8762 Ferrara CT ,Apples,FL,34114
5147,Apples,20200 Burnside PL 2003,ESTERO,FL,33928
5148,Apples,10751 Vivaldi CT 1202,MIROMAR LAKES,FL,33913
5149,Apples,3295 Fort Charles DR ,Apples,FL,34102
5150,Apples,2925 Cypress Trace CIR 104,Apples,FL,34119
5151,Apples,995 Anglers CV N-304,MARCO ISLAND,FL,34145
5152,Apples,4824 Snarkage DR ,BONITA SPRINGS,FL,34134
5153,Apples,850 Central AVE 307,Apples,FL,34102
5154,Apples,850 Central AVE 303,Apples,FL,34102
5155,Apples,850 Central AVE 301,Apples,FL,34102
5156,Apples,26236 Hickory BLVD 13,BONITA SPRINGS,FL,34134
5157,Apples,4255 Gulf Shore BLVD N 1201,Apples,FL,34103
5158,Apples,1268 22nd AVE N ,Apples,FL,34103
5159,Apples,9620 Monteverdi WAY ,FORT MYERS,FL,33912
5160,Apples,25000 Tamiami TRL E D-150,Apples,FL,34114
5161,Apples,3500 RUM ROW ,Apples,FL,34102
5162,Apples,4951 Gulf Shore BLVD N PH402,Apples,FL,34103
5163,Apples,13925 Old Coast RD 1402,Apples,fl,34110
5164,Apples,970 Cape Marco DR 1407,MARCO ISLAND,FL,34145
5165,Apples,893 Collier CT 3-205,MARCO ISLAND,FL,34145
5166,Apples,6947 Mauna Loa LN ,Apples,FL,34113
5167,Apples,720 Collier BLVD 505,MARCO ISLAND,FL,34145
5168,Apples,977 Iris CT ,MARCO ISLAND,FL,34145
5169,Apples,6634 Trident WAY ,Apples,FL,34108
5170,Apples,107 Wilderness DR C-309,Apples,FL,34105
5171,Apples,1149 Sweetwater LN 4204,Apples,FL,34110
5172,Apples,4966 Bollard CT ,Apples,FL,34112
5173,Apples,13840 Tonbridge CT ,BONITA SPRINGS,FL,34135
5174,Apples,850 Central AVE 305,Apples,FL,34102
5175,Apples,13991 Williston WAY ,Apples,FL,34119
5176,Apples,7515 Stoneybrook DR 834,Apples,FL,34112
5177,Apples,930 Cape Marco DR 1304,MARCO ISLAND,FL,34145
5178,Apples,1188 Rainbow DR ,Apples,FL,34104
5179,Apples,28530 Calabria CT 102,Apples,FL,34110
5180,Apples,4651 Gulf Shore BLVD N 506,Apples,FL,34103
5181,Apples,15508 Orlanda DR ,BONITA SPRINGS,FL,34135
5182,Apples,13915 Old Coast RD 1204,Apples,FL,34110
5183,Apples,219 Malibu CV ,BONITA SPRINGS,FL,34134
5184,Apples,14191 Charthouse CT ,Apples,FL,34114
5185,Apples,8012 Wilfredo CT ,Apples,FL,34114
5186,Apples,101 8th ST S 202,Apples,FL,34102
5187,Apples,10103 Biscayne Bay LN ,Apples,FL,34120
5188,Apples,420 Cove Tower DR 402,Apples,FL,34110
5189,Apples,631 Venezia Grande DR ,Apples,FL,34119
5190,Apples,5926 Drexel CT ,Apples,FL,34119
5191,Apples,3875 Isla Del Sol WAY ,Apples,FL,34114
5192,Apples,8214 Key Royal CIR 115,Apples,FL,34119
5193,Apples,27553 RIVER REACH DR ,BONITA SPRINGS,FL,34134
5194,Apples,9296 SWEETGRASS WAY ,Apples,FL,34108
5195,Apples,80 Seagate DR 7,Apples,FL,34103
5196,Apples,4140 72nd AVE NE ,Apples,FL,34120
5197,Apples,6 Bass LN 6,Apples,FL,34114
5198,Apples,2775 Sunset BLVD ,Apples,FL,34112
5199,Apples,3787 Fort Charles DR ,Apples,FL,34102
5200,Apples,3330 Lakeview DR ,Apples,Fl,34112
5201,Apples,23750 Via Trevi WAY 903,BONITA SPRINGS,FL,34134
5202,Apples,1000 Collier BLVD 705,MARCO ISLAND,FL,34145
5203,Apples,478 Willet AVE ,Apples,FL,34108
5204,Apples,20098 Palermo Lake CT ,ESTERO,FL,33928
5205,Apples,101 8th ST S 303,Apples,FL,34102
5206,Apples,1950 Tarpon RD ,Apples,FL,34102
5207,Apples,9834 Giaveno CIR 1736,Apples,FL,34113
5208,Apples,782 Eagle Creek DR 201,Apples,FL,34113
5209,Apples,8578 Chase Preserve DR ,Apples,FL,34113
5210,Apples,670 Rockport CT ,MARCO ISLAND,FL,34145
5211,Apples,125 Jamaica DR ,Apples,FL,34113
5212,Apples,9003 Shenendoah CIR ,Apples,FL,34113
5213,Apples,60 Eugenia DR ,Apples,FL,34108
5214,Apples,1371 Michigan AVE ,Apples,FL,34103
5215,Apples,5440 Worthington LN 203,Apples,FL,34110
5216,Apples,701 Hollybriar LN ,Apples,FL,34108
5217,Apples,371 1st ST NW ,Apples,FL,34120
5218,Apples,1335 Sandpiper ST ,Apples,FL,34102
5219,Apples,1200 Chelmsford CT 65,Apples,FL,34104
5220,Apples,27694 Bay Point LN ,BONITA SPRINGS,FL,34134
5221,Apples,1135 3RD AVE S 510,Apples,FL,34102
5222,Apples,220 Seaview CT 601,MARCO ISLAND,FL,34145
5223,Apples,470 Launch CIR V-205,Apples,FL,34108
5224,Apples,4690 Winged Foot CT 103,Apples,FL,34112
5225,Apples,6573 MARISSA LOOP 2002,Apples,FL,34108
5226,Apples,28561 Via D Arezzo DR ,BONITA SPRINGS,FL,34135
5227,Apples,17248 Hidden Estates CIR ,FORT MYERS,FL,33908
5228,Apples,3555 Avion Woods CT 504,Apples,FL,34104
5229,Apples,9341 SPRING RUN BLVD 3104,ESTERO,FL,34135
5230,Apples,8943 Saint Lucia DR ,Apples,FL,34114
5231,Apples,4231 Pine Ridge RD ,Apples,FL,34119
5232,Apples,788 Willowbrook DR 502,Apples,FL,34108
5233,Apples,1801 Gulf Shore BLVD N 703,Apples,FL,34102
5234,Apples,721 Rockport CT ,MARCO ISLAND,FL,34145
5235,Apples,13040 Amberley CT 503,BONITA SPRINGS,FL,34135
5236,Apples,7661 Mulberry LN ,Apples,FL,34114
5237,Apples,292 14th AVE S C,Apples,FL,34102
5238,Apples,9815 Giaveno CT 1246,Apples,FL,34113
5239,Apples,300 Horse Creek DR 105,Apples,FL,34110
5240,Apples,2180 Arielle DR 805,Apples,FL,34109
5241,Apples,980 Cape Marco DR 407,MARCO ISLAND,FL,34145
5242,Apples,8680 Cedar Hammock CIR 114,Apples,FL,34112
5243,Apples,1014 Collier BLVD 105,MARCO ISLAND,FL,34145
5244,Apples,1480 Peach PL ,Apples,FL,34117
5245,Apples,6392 Lyford Isle DR ,Apples,FL,34113
5246,Apples,1835 Snook DR ,Apples,FL,34102
5247,Apples,26435 Bay RD ,BONITA SPRINGS,FL,34134
5248,Apples,697 Lambton LN ,Apples,FL,34104
5249,Apples,2084 Fairmont LN ,Apples,FL,34120
5250,Apples,9727 Acqua CT 424,Apples,FL,34113
5251,Apples,9123 Strada PL 7417,Apples,FL,34108
5252,Apples,240 Palm DR #3,Apples,FL,34112
5253,Apples,2280 Hawksridge LOOP ,Apples,FL,34105
5254,Apples,1063 Frank Whiteman BLVD ,Apples,FL,34103
5255,Apples,6000 Cajeput LN ,BONITA SPRINGS,FL,34134
5256,Apples,1223 Gordon River TRL ,Apples,FL,34105
5257,Apples,4021 Gulf Shore BLVD N PH11,Apples,FL,34103
5258,Apples,9147 Delano ST 96-6,Apples,FL,34113
5259,Apples,2129 Mission DR ,Apples,FL,34109
5260,Apples,960 Swallow AVE 203,MARCO ISLAND,FL,34145
5261,Apples,4714 ARBORETUM CIR 104,Apples,FL,34112
5262,Apples,6448 Huntington Lakes CIR 101,Apples,FL,34119
5263,Apples,265 Indies WAY 2,Apples,FL,34110
5264,Apples,4714 ARBORETUM CIR 101,Apples,FL,34112
5265,Apples,4720 ARBORETUM CIR 101,Apples,FL,34112
5266,Apples,4714 ARBORETUM CIR 102,Apples,FL,34112
5267,Apples,4721 ARBORETUM CIR 102,Apples,FL,34112
5268,Apples,4721 ARBORETUM CIR 202,Apples,FL,34112
5269,Apples,3000 Royal Marco WAY 321,MARCO ISLAND,FL,34145
5270,Apples,26811 Clarkston DR 102,BONITA SPRINGS,FL,34135
5271,Apples,17026 Porta Vecchio WAY 202,Apples,FL,34110
5272,Apples,28571 Calabria CT 102,Apples,FL,34110
5273,Apples,222 Harbour DR 311,Apples,FL,34103
5274,Apples,1085 Bald Eagle DR B503,MARCO ISLAND,FL,34145
5275,Apples,124 Rose LN 112,Apples,FL,34114
5276,Apples,4720 ARBORETUM CIR 103,Apples,FL,34112
5277,Apples,4780 Shinnecock Hills CT #-202,Apples,FL,34112
5278,Apples,3003 6th ST SW ,LEHIGH ACRES,FL,33976
5279,Apples,4651 Gulf Shore BLVD N 707,Apples,FL,34103
5280,Apples,590 WEDGE DR ,Apples,FL,34103
5281,Apples,4345 11th AVE SW ,Apples,FL,34116
5282,Apples,9259 Quarter Moon DR ,Apples,FL,34109
5283,Apples,425 Putter Point DR ,Apples,FL,34103
5284,Apples,420 Fox Haven DR 3208,Apples,FL,34104
5285,Apples,4031 Gulf Shore BLVD N 3C,Apples,FL,34103
5286,Apples,5445 25th PL SW ,Apples,FL,34116
5287,Apples,522 39th AVE NE ,Apples,Fl,34120
5288,Apples,15714 Villoresi WAY ,Apples,FL,34110
5289,Apples,870 Collier BLVD 206,MARCO ISLAND,FL,34145
5290,Apples,603 West ST ,Apples,FL,34108
5291,Apples,4510 Botanical Place CIR 301,Apples,FL,34112
5292,Apples,5414 Warren ST ,Apples,FL,34113
5293,Apples,8879 Lely Island CIR ,Apples,FL,34113
5294,Apples,3528 Everglades BLVD N ,Apples,FL,34120
5295,Apples,413 Leawood CIR ,Apples,FL,34104
5296,Apples,238 Pebble Beach BLVD 607,Apples,FL,34113
5297,Apples,14091 Heritage Landing BLVD 118,PUNTA GORDA,FL,33955
5298,Apples,8508 Bellagio DR ,Apples,FL,34114
5299,Apples,18081 Lagos WAY ,Apples,FL,34110
5300,Apples,25750 Hickory BLVD . PH-758 E,BONITA SPRINGS,FL,34134
5301,Apples,4971 Bonita Bay BLVD 806,BONITA SPRINGS,FL,34134
5302,Apples,16664 Lucarno WAY ,Apples,FL,34110
5303,Apples,20373 Cypress Shadows BLVD ,ESTERO,FL,33928
5304,Apples,4843 Hampshire CT 2-303,Apples,FL,34112
5305,Apples,2361 Lantern LN ,Apples,FL,34102
5306,Apples,1370 17th ST SW ,Apples,FL,34117
5307,Apples,9980 Vanderbilt DR ,Apples,FL,34108
5308,Apples,22891 Sago Pointe DR 2004,ESTERO,FL,34135
5309,Apples,3000 Oasis Grand BLVD 2604,FORT MYERS,FL,33916
5310,Apples,28557 Sicily LOOP ,BONITA SPRINGS,FL,34135
5311,Apples,3100 Gordon DR ,Apples,FL,34102
5312,Apples,3812 Ruby WAY ,Apples,FL,34114
5313,Apples,3008 7th ST W ,LEHIGH ACRES,FL,33971
5314,Apples,15524 Monterosso LN 102,Apples,FL,34110
5315,Apples,19 Marco Villas DR O-5,MARCO ISLAND,FL,34145
5316,Apples,318 Harvard LN ,Apples,FL,34104
5317,Apples,3621 Wild Pines DR 211,BONITA SPRINGS,FL,34134
5318,Apples,6916 Avalon 107,Apples,fl,34112
5319,Apples,28040 Castellano WAY ,Apples,FL,34110
5320,Apples,7548 Berkshire Pines DR ,Apples,FL,34104
5321,Apples,49 High Point CIR S 202,Apples,FL,34103
5322,Apples,15163 Brolio LN ,Apples,FL,34110
5323,Apples,6578 Ridgewood DR ,Apples,FL,34108
5324,Apples,5080 Hawthorn Woods WAY ,Apples,FL,34116
5325,Apples,565 Whispering Pine LN ,Apples,FL,34103
5326,Apples,257 Baltusrol DR ,Apples,FL,34113
5327,Apples,57 Temple LN 180,Apples,FL,34114
5328,Apples,11746 Forest Mere DR ,BONITA SPRINGS,FL,34135
5329,Apples,409 Capri BLVD ,Apples,FL,34113
5330,Apples,4785 4th AVE NE ,Apples,FL,34120
5331,Apples,7128 Timberland CIR 102,Apples,FL,34109
5332,Apples,941 Embassy CT ,MARCO ISLAND,FL,34145
5333,Apples,1082 Grove DR ,Apples,FL,34120
5334,Apples,1000 Admiralty Parade ,Apples,FL,34102
5335,Apples,2250 Hidden Lake DR 309,Apples,FL,34112
5336,Apples,1695 Ludlow RD ,MARCO ISLAND,FL,34145
5337,Apples,4151 Gulf Shore BLVD N 1102,Apples,FL,34103
5338,Apples,6273 Lightbourn WAY ,Apples,FL,34113
5339,Apples,13021 Bridgeford Ave ,BONITA SPRINGS,FL,34135
5340,Apples,2710 Cypress Trace CIR 3028,Apples,FL,34119
5341,Apples,16724 Enclave CIR ,Apples,FL,34110
5342,Apples,1963 Gulf Shore BLVD S ,Apples,FL,34102
5343,Apples,1200 Edington PL A404,MARCO ISLAND,FL,34145
5344,Apples,13925 Old Coast RD 302,Apples,fl,34110
5345,Apples,800 River Point DR 541,Apples,FL,34102
5346,Apples,14892 Sterling Oaks DR ,Apples,FL,34110
5347,Apples,8917 Saint Lucia DR ,Apples,FL,34114
5348,Apples,3112 Strada Bella CT ,Apples,FL,34119
5349,Apples,15475 Marcello CIR 224,Apples,FL,34110
5350,Apples,700 Bentwater CIR 203,Apples,FL,34108
5351,Apples,200 Misty Pines CIR B-101,Apples,FL,34105
5352,Apples,760 Waterford DR 302,Apples,FL,34113
5353,Apples,2233 San Marco RD 5-203,MARCO ISLAND,FL,34145
5354,Apples,5075 Castlerock WAY ,Apples,FL,34112
5355,Apples,7575 Pelican Bay BLVD 1706,Apples,FL,34108
5356,Apples,795 Anderson DR ,Apples,FL,34103
5357,Apples,4816 Cerromar Dr. Cerromar DR ,Apples,FL,34112
5358,Apples,10951 Gulf Shore DR 1502,Apples,FL,34108
5359,Apples,827 Ashburton DR ,Apples,FL,34110
5360,Apples,4150 Crayton RD B2,Apples,FL,34103
5361,Apples,3215 Gulf Shore BLVD N 301N,Apples,FL,34103
5362,Apples,5215 Treetops DR I-O-3,Apples,FL,34113
5363,Apples,8860 Mustang Island CIR ,Apples,FL,34113
5364,Apples,4795 Aston Gardens WAY D-201,Apples,FL,34109
5365,Apples,16859 Caminetto CT ,Apples,FL,34110
5366,Apples,3000 Oasis Grand BLVD 2204,FORT MYERS,FL,33916
5367,Apples,13500 Southampton DR ,BONITA SPRINGS,FL,34135
5368,Apples,350 Collier BLVD 208,MARCO ISLAND,FL,34145
5369,Apples,2900 Gulf Shore BLVD N 412,Apples,FL,34103
5370,Apples,120 Bonita CT ,MARCO ISLAND,FL,34145
5371,Apples,28570 Calabria CT 102,Apples,FL,34110
5372,Apples,1913 Mission DR ,Apples,FL,34109
5373,Apples,1007 Tivoli DR ,Apples,FL,34104
5374,Apples,11606 Quail Village WAY ,Apples,FL,34119
5375,Apples,9400 Highland Woods BLVD 5108,BONITA SPRINGS,FL,34135
5376,Apples,280 collier BLVD S 1202,MARCO ISLAND,FL,34145
5377,Apples,2488 Breakwater WAY 13-202,Apples,FL,34112
5378,Apples,7433 Winding Cypress DR ,Apples,FL,34114
5379,Apples,11572 Mahogany RUN ,FORT MYERS,FL,33913
5380,Apples,2835 Cypress Trace CIR 103,Apples,FL,34119
5381,Apples,4662 Idylwood LN ,Apples,FL,34119
5382,Apples,4991 Bonita Bay Blvd 2503,BONITA SPRINGS,FL,34134
5383,Apples,1466 Curlew AVE ,Apples,FL,34102
5384,Apples,4991 Bonita Bay Blvd 1903,BONITA SPRINGS,FL,34134
5385,Apples,52 Southport CV ,BONITA SPRINGS,FL,34134
5386,Apples,3210 Cotuit LN ,Apples,FL,34114
5387,Apples,105 Clubhouse DR D-156,Apples,FL,34105
5388,Apples,27568 Riverbank DR ,BONITA SPRINGS,FL,34134
5389,Apples,3442 Wellfleet LN ,Apples,FL,34114
5390,Apples,4960 Shaker Heights CT 101,Apples,FL,34112
5391,Apples,3645 Boca Ciega DR 205,Apples,FL,34112
5392,Apples,25820 HICKORY BLVD D-401,BONITA SPRINGS,FL,34134-3635
5393,Apples,940 Palm View DR 115,Apples,FL,34110
5394,Apples,3610 Bay Creek DR ,BONITA SPRINGS,FL,34134
5395,Apples,3780 Sawgrass WAY 3322,Apples,FL,34112
5396,Apples,157 Center ST ,Apples,FL,34108
5397,Apples,2060 Isla Vista LN ,Apples,FL,34105
5398,Apples,2995 Kings Lake BLVD ,Apples,FL,34112
5399,Apples,48 14th ST S ,Apples,FL,34102
5400,Apples,790 14th ST SE ,Apples,FL,34117
5401,Apples,72 Southport CV ,BONITA SPRINGS,FL,34134
5402,Apples,4991 Bonita Bay Blvd 2601,BONITA SPRINGS,FL,34134
5403,Apples,2229 41st TER SW ,Apples,FL,34116
5404,Apples,28708 La Caille DR ,Apples,FL,34119
5405,Apples,3275 Green Dolphin LN ,Apples,FL,34102
5406,Apples,2722 3rd LN ,CAPE CORAL,FL,33991
5407,Apples,6963 Cay CT ,Apples,FL,34113
5408,Apples,7810 Gardner DR 202,Apples,FL,34109
5409,Apples,271 Southbay DR 237,Apples,FL,34108
5410,Apples,6461 Bottlebrush LN ,Apples,FL,34109
5411,Apples,6101 Pelican Bay Blvd 102,Apples,Fl,34108
5412,Apples,216 Palm DR 5,Apples,FL,34112
5413,Apples,806 Knollwood CT ,Apples,FL,34108
5414,Apples,748 Caribbean CT ,MARCO ISLAND,FL,34145
5415,Apples,3115 Gulf Shore BLVD N 312S,Apples,FL,34103
5416,Apples,6044 Huntington Woods DR 138-1,Apples,FL,34112
5417,Apples,7679 Victoria Cove CT ,FORT MYERS,FL,33908
5418,Apples,2587 Twinflower LN ,Apples,FL,34105
5419,Apples,7753 Victoria Cove CT ,FORT MYERS,FL,33908
5420,Apples,780 13th AVE S B1,Apples,FL,34102
5421,Apples,503 Ridge DR ,Apples,FL,34108
5422,Apples,199 San Mateo DR ,BONITA SPRINGS,FL,34134
5423,Apples,17015 Porta Vecchio WAY 102,Apples,FL,34110
5424,Apples,4268 Tarpon AVE ,BONITA SPRINGS,FL,34134
5425,Apples,4270 Tarpon AVE ,BONITA SPRINGS,FL,34134
5426,Apples,3800 Sawgrass WAY 3134,Apples,FL,34112
5427,Apples,960 Cape Marco DR 1202,MARCO ISLAND,FL,34145
5428,Apples,2756 Tiburon BLVD E 1-101,Apples,FL,34109
5429,Apples,24660 Canary Island CT 202,BONITA SPRINGS,FL,34134
5430,Apples,3670 Periwinkle WAY 1-22,Apples,FL,34114
5431,Apples,7209 Acorn WAY ,Apples,FL,34119
5432,Apples,143 Saxon ST ,MARCO ISLAND,FL,34145
5433,Apples,6329 Serano WAY ,Apples,FL,34113
5434,Apples,6164 Mandalay CIR 10,Apples,FL,34112
5435,Apples,656 Palm CIR W ,Apples,FL,34102
